query_index,query_rating,query_text,rank,retrieved_train_index,retrieved_similarity,retrieved_rating,retrieved_text
0,5,This is a perfect radio. It's easy to use for everyone as it doesn't have complex parts or settings. It's portable and is loud enough for a small group of people. In general I am very satisfied.,1,15115,0.9217469692230225,5,"What can you say if you get a great product for a steal price ($5 assuming I get my $20 mail in rebate). The voice quality is very good, and connectivity is easy as well. The product delivers what it's intended for."
0,5,This is a perfect radio. It's easy to use for everyone as it doesn't have complex parts or settings. It's portable and is loud enough for a small group of people. In general I am very satisfied.,2,30284,0.9207234978675842,5,I've been using for over a year and it's flawless.  I upgraded to an iphone a few months ago and I still use my bold as a clock with the charging dock.
0,5,This is a perfect radio. It's easy to use for everyone as it doesn't have complex parts or settings. It's portable and is loud enough for a small group of people. In general I am very satisfied.,3,20548,0.9198803901672363,5,This mirror is perfect for my hairdressing business as it is large enough for the customers to see the back of their heads and the price is very good too. I have dropped these before from about 5 ft and they were durable so added bonus.
0,5,This is a perfect radio. It's easy to use for everyone as it doesn't have complex parts or settings. It's portable and is loud enough for a small group of people. In general I am very satisfied.,4,23925,0.9194472432136536,4,"We've been using this quite a bit lately, and I have to say it is incredibly handy for all sorts of greens and herbs. Simple, well made, and easy to use. What more can you ask for?"
0,5,This is a perfect radio. It's easy to use for everyone as it doesn't have complex parts or settings. It's portable and is loud enough for a small group of people. In general I am very satisfied.,5,17183,0.9192805886268616,4,"I make a lot of artisan bread, this is very useful for scraping the counter free of excess dough.  It has a measure which helps in keeping bread sizes in check, I also use it for cutting."
1,1,"It won't give you the colour that shows on, or at the back of the box. not even close! I have medium ash brown hair and the only reason I dye my hair is because of my grey hairs. I just used an &#34;ash&#34; shade of this hair colour to dye my roots and now my roots has an awful copper/red shine, and it doesn't look &#34;ash&#34; brown at all! It has orange undertone:(I am so upset, and recommend you not to use this product at all! Don't even try it or you would regret like me.",1,10135,0.9061333537101746,2,"this was my first time using a henna product of any kind so I won't give the product a 1 star because its always possible i didnt do something right (even though its just add water)  the product smells like cooked spinach which isnt pleasant at all but its natural so i went with it hoping that when it dried the smell would go away, no such luck.  also the product didnt rinse out - after rinsing and repeating until my hair felt stripped i just twisted and air dried, the next day i still have what looks like coffee grinds in my hair - gross!!and the biggest disappointment of all is my hair is not red - i wore a heat cap for 60 mins and there is no red in my hair - i started with a medium shade of brown and i feel like it looks darker than when i started which is okay because i ordered the dark drown too, but i think i will try a different company before i give the spinach head a go again."
1,1,"It won't give you the colour that shows on, or at the back of the box. not even close! I have medium ash brown hair and the only reason I dye my hair is because of my grey hairs. I just used an &#34;ash&#34; shade of this hair colour to dye my roots and now my roots has an awful copper/red shine, and it doesn't look &#34;ash&#34; brown at all! It has orange undertone:(I am so upset, and recommend you not to use this product at all! Don't even try it or you would regret like me.",2,8598,0.9044766426086426,3,"This item arrived today in a small envelope directly from China, and that is why it took so long to receive it. The packaging it was housed in had absolutely no writing on it other than &#34;Made in China.&#34; Nothing as to what it was made of, or even what it was. The mesh was partially pushed in. I wonder if it really is stainless steel. I put it in the donation pile. I should have purchased it at my local Kmart, Target or Walmart at the same price."
1,1,"It won't give you the colour that shows on, or at the back of the box. not even close! I have medium ash brown hair and the only reason I dye my hair is because of my grey hairs. I just used an &#34;ash&#34; shade of this hair colour to dye my roots and now my roots has an awful copper/red shine, and it doesn't look &#34;ash&#34; brown at all! It has orange undertone:(I am so upset, and recommend you not to use this product at all! Don't even try it or you would regret like me.",3,9744,0.904009997844696,1,"This device has a major design flaw and does not prevent thieves from cutting it up.  I used this poorly designed lock on my macbook pro and the thief was still able to destroy the lock with a cutter.  Mind you, the lock portion was destroyed, not the cable.  The thief was able to yank out enough of a crease located between my laptop hole and the combo lock itself for his metal cutter to easily break its clippers.  Basically this device provides a false sense of security when contends to a thief with formidably-equipped metal cutter."
1,1,"It won't give you the colour that shows on, or at the back of the box. not even close! I have medium ash brown hair and the only reason I dye my hair is because of my grey hairs. I just used an &#34;ash&#34; shade of this hair colour to dye my roots and now my roots has an awful copper/red shine, and it doesn't look &#34;ash&#34; brown at all! It has orange undertone:(I am so upset, and recommend you not to use this product at all! Don't even try it or you would regret like me.",4,14392,0.9030779004096985,1,"First of all, my unit was factory refurbished, so had no warranty.  It smoked on the first use and died on the second.  I ordered an oster blender and it's been working fine ever since... two or three years, never a problem.But I won't stop there.  Thought maybe I could find the problem or use the motor for another project, since I couldn't return the unit, took it apart and was absolutely flabbergasted with what I found.  I'm an electrical engineer and have been involved with designing and building all sorts of things through my life... but this takes the cake for poor design and unsafe practices.  The motor is mounted using a paper (not plastic, not cardboard) tube that fits into a plastic ridge at the top.  It rests on the bottom of the housing on a rubber grommet and is not anchored in place except for this PAPER tube, shaped like a toilet paper center.  So I threw the bottom half away, put a mason jar lid on the bottom of the nice glass jar and thought I'd use it as an orange juice container... bad idea... it won't pour without slopping down the front and all over the table.This is junk and shame shame on you cuisinart... I'm sure they bought it from someone else because they would NEVER have designed something this badly... someone was making it as a joke!"
1,1,"It won't give you the colour that shows on, or at the back of the box. not even close! I have medium ash brown hair and the only reason I dye my hair is because of my grey hairs. I just used an &#34;ash&#34; shade of this hair colour to dye my roots and now my roots has an awful copper/red shine, and it doesn't look &#34;ash&#34; brown at all! It has orange undertone:(I am so upset, and recommend you not to use this product at all! Don't even try it or you would regret like me.",5,20958,0.8984300494194031,2,"First of all, it took a month to arrive.  In my opinion it does not perform properly.  When you fill the ball with tea leaves which is easy, but, after steeping in hot water you find that most of the tea  leaves have left the ball and settled on the bottom of the pot.  not what I expected at all.  The two halves of the ball do not come together with a tight seal."
2,5,"This is the broadband router that started the revolution. Linksys keeps updating the firmware to keep up with the new technology, but they basically did it right the first time in this area, and they continue to dominate.The router is very easy to set-up, but if you do have problems, or just want to learn more about it, there are plenty of people in newsgroups and web forums that have this very same router. You're bound to get any question you have answered quickly.",1,14021,0.9116755127906799,5,"Wasn't sure what to expect with this, but it works flawlessly and it is very easy to use, as well as very portable.  Probably my only complaints are that you do have to read the manual very carefully to understand the various colors and blinks of the lights, but once you know your way around it - the device just works.  Callers cannot tell you are on a bluetooth and you can hear the callers very clearly.  It has exceeded my expectations.  Plan to get another one for our second car now."
2,5,"This is the broadband router that started the revolution. Linksys keeps updating the firmware to keep up with the new technology, but they basically did it right the first time in this area, and they continue to dominate.The router is very easy to set-up, but if you do have problems, or just want to learn more about it, there are plenty of people in newsgroups and web forums that have this very same router. You're bound to get any question you have answered quickly.",2,32537,0.9101624488830566,5,"If you want to go jogging or work out while listening to music, these headphones will stick in your ears like an earplug, staying put until you explicitly try to remove them. Since they block out sound well and stick close to your eardrum, they can produce very powerful and clear sound despite their size. They hide pretty well. Their foam piece is cheap online and easy to replace, which is important because they will wear out with all the squishing to make them fit in your ears. Best of all, they are cheap.Please keep in mind, though, that they pretty much function as earplugs. This can be a good thing and a bad thing. If you go jogging and fail to look both ways at roads, you may not notice a car approaching. However, if you want to be alone with your music and your thoughts (such as if you are ADD) then will serve you well."
2,5,"This is the broadband router that started the revolution. Linksys keeps updating the firmware to keep up with the new technology, but they basically did it right the first time in this area, and they continue to dominate.The router is very easy to set-up, but if you do have problems, or just want to learn more about it, there are plenty of people in newsgroups and web forums that have this very same router. You're bound to get any question you have answered quickly.",3,34431,0.9028854966163635,5,"The works great! We have used it for a couple of weeks now and we haven't had any trouble. Our old one that was made by a different company wasn't very durable and was pain to deal with. However this is very easy to setup. Just plug it in and start mixing the batter. Then spoon about 1/2 to 3/4 a tablespoon onto the iron and lightly press down. After about 35-45 seconds, lift the iron and pullout the pizzelles. It takes a little time to get good at it, but once you get good, they'll become your favorite snack! It comes with a recipe book too!"
2,5,"This is the broadband router that started the revolution. Linksys keeps updating the firmware to keep up with the new technology, but they basically did it right the first time in this area, and they continue to dominate.The router is very easy to set-up, but if you do have problems, or just want to learn more about it, there are plenty of people in newsgroups and web forums that have this very same router. You're bound to get any question you have answered quickly.",4,32114,0.902522087097168,5,This is one sweet device! This is the best value for your money in a PDA.  Its far more economical than the Vx or even V for that matter. I personally  like the looks of the IIIxe over that of the V series especially since the  IIIxe is jet black(versus the onlder III models with the gray case). The  case also seems more rugged and sturdy than the Visor series. Buy this!
2,5,"This is the broadband router that started the revolution. Linksys keeps updating the firmware to keep up with the new technology, but they basically did it right the first time in this area, and they continue to dominate.The router is very easy to set-up, but if you do have problems, or just want to learn more about it, there are plenty of people in newsgroups and web forums that have this very same router. You're bound to get any question you have answered quickly.",5,1806,0.8987650871276855,4,"Bought this for my girlfriend's s3, and she loved it. Having that wrist lanyard is really helpful, and it is a nice looking case for the phone. Fitment is perfect. Also the slick outer sheen is pretty easy to clean off when stuff gets on it, however its somewhat easy to leave indent marks/scratches on if left in a purse with pens or anything sharp.One thing I hadnt noticed from the sellers page was that this case is held together by a snap. It seems like they have now added one picture in which you can kind of see it from the side. This is no a problem, it holds well, but a magnet might have been nice.The only real drawbacks are that when you keep the cover closed for a while, it may leave small horizontal smudge marks on the phone from the card pockets. Also extended use of the phone in this case will cause it to heat up faster than on some of the other cases I've tried. Both of these can be mildly annoying, but arent really a big problem."
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",1,16358,0.9584053754806519,4,"OK.So no doubt the title caught your eye and you're curious - what does he mean?  I mean some of the reviews here are a little inaccurate, and I intend to respond to some of these comments.  But first, let me give my personal thoughts on this machine.Background: I'm currently in the process of getting my body back into the shape it used to be in during high school.  I have a Bowflex which does great for the strength training and muscle development, but regardless of what the commercials say, it's NOT designed to help you lose weight.  So I decided to get the Gazelle Freestyle.First thing I noticed was that the parts are very sturdy and thick, definitely not as cheap as it looks in the pictures.  They're hollow piping, so the whole deal is not too heavy; less than 60lbs.  There also aren't that many parts to assemble, however I was not happy with the assembly process, for many reasons.First, the parts had some bolts pre-screwed into final holes which irritated me.  It means you have to unscrew, find a place for them, then re-screw them after you connect the parts which, incidentally, might not happen until the end of the assembly.  It's just an irritant; I'd rather just have the standard board of bolts and parts that comes with stuff today and let me attach it when it's good and ready.Second, the instructions aren't clear and the pictures are ambiguous.  It makes it extremely difficult to know how things should be laid out - additionally, one of the steps is wrong.  It shows a picture of the foot rests upside down, yet if you install it that way, it'll be wrong.Third is a symptom of the second one above.  The steps in the instructions tell you to do things the wrong way - literally, assemble it in the wrong direction.  If you do it in reverse, the assembly will go a LOT quicker and you'll realize that it's actually nowhere near as complex as it's made out to be.  It's quite simple, really consisting of three steps instead of the 7-8 that the instructions have you believe.Ok, so now that the bad news is out of the way, onto the actual experience (and my responses to the other reviews).Squeaks: Haven't noticed any.  It makes a tiny noise as moving parts will, but it's nothing deal breaking.  If you get some regular grease and add a bit to the axle bar, you won't even notice it.  It does come pre-greased, but again, if the squeaking bothers you so much....Ineffective:  Uh, what?  I'm in decent shape and I was able to get a decent workout from this thing.  I think some of these guys had super-high expectations based on Tony Little jumping around like an idiot.  You're not going to start sweating on this thing after a minute of moving, even if you do it rapidly.  There's a reason for this, and it's a good reason if you think about it: merely moving doesn't cause you to sweat.  Impact causes you to sweat, even if you don't actually come in contact with something.  That's why if you were shadow boxing, you'll get a good workout, because you're actually making impacts with the air, sharp hits that actually exert your muscles.  This machine doesn't actually exert your muscles beyond normal range of motion, which is why it shouldn't be used for any strength or endurance training.  It will, however, give you a good cardio workout after a time.  NOT A MINUTE.  That said, I did the workout all through a 10-minute WWE match, and by the end of it I was at the beginning stages of sweating, and started to feel a little fatigue; comparable to what you would feel after having walked rapidly for two miles, but with less muscle exertion.  I took a break, and got the feeling in my legs where it seemed as though I was still going through the motion.Heart Monitor: I think this device is not useful.  I'm serious.  I mean if I were actually running or walking then I would pay attention, but as I mentioned before, there is no true exertion on this device which would really push your heart muscle.  To me, a heart monitor is more useful on a treadmill or even an elliptical, not on this.  If you use it, great...I didn't even bother installing it, therefore I can't review it.So, do I recommend it?  Yes...as long as you don't have any misconceptions about performance.  It's not going to cause you to start sweating after a minute of use.  You really need to work it for at least 10 minutes, consistently, changing speed and angle.  If you lean forward, you add some resistance and will feel it."
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",2,15315,0.9582012891769409,5,"Bought this for my wife a couple months ago and it's great!  I bought it over a Kindle because of issues I researched about Amazons' proprietary ebook formats and to get library books or other epubs you had to do some conversion to get them to work on the Kindle.  I wanted the easiest thing for my wife to deal with and the Nook is great - had a couple ebooks (from Borders.com and Barnes and Noble) downloaded and library books the first night!  Just need a free download to manage the books from Adobe and your set.  Its easy to navigate, batteries last about a month and my wife uses it every day.  Buy it!!!!!!!!!!!!!!!!!!"
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",3,7710,0.9578288793563843,5,"I received this item for Christmas.  I wanted it so I could make more natural ice cream without all those additives.  I used a simple recipe from off the web: Some whole milk, condesed milk, and cocoa powder.  At first it was a failure because I only froze the container for 5 hours.  It didn't swish when I shook it, so I thought I was good to go.  After nearly 2 hours I just had cold ingrediants.  I put them in the fridge and froze the container overnight and restarted in the morning.  After only 30 minutes I had some of the most amazing ice cream I have ever had.  I will never buy ice cream from the store again.  This ice cream maker is awesome, I love it."
